"","miRNA","D0PF1","D0PF2","D0SAG1","D0SAG2","D7PF1","D7PF2","D7SAG1","D7SAG2","Trend"
"2","mmu-let-7b-5p",36375,23766,9189,35230,63500,44838,77027,27682,"UBT"
"3","mmu-let-7c-5p",138745,91805,35239,135791,239677,174265,289737,93060,"UBT"
"5","mmu-let-7e-5p",33910,31150,8856,40324,58020,45996,76500,25657,"UBT"
"6","mmu-miR-10a-5p",245,79,86,67,1585,818,823,244,"UBT"
"7","mmu-miR-10b-3p",571,224,189,312,893,550,631,423,"UBT"
"8","mmu-miR-10b-5p",46225,18403,12599,28980,92291,62161,61631,30218,"UBT"
"9","mmu-miR-1199-5p",3,3,1,2,27,19,4,4,"UBT"
"16","mmu-miR-125b-2-3p",6043,4732,6903,4990,12267,6920,10326,8814,"UBT"
"26","mmu-miR-130b-3p",246,138,223,172,554,247,259,258,"UBT"
"27","mmu-miR-130b-5p",410,191,143,259,683,421,515,334,"UBT"
"31","mmu-miR-136-5p",3674,2305,2884,3394,6495,3955,10983,8193,"UBT"
"32","mmu-miR-142a-3p",2036,752,208,359,9891,4071,2384,2312,"UBT"
"33","mmu-miR-142a-5p",7345,2500,1091,1414,41278,16110,9769,10061,"UBT"
"34","mmu-miR-146a-3p",9,5,1,9,44,26,13,19,"UBT"
"35","mmu-miR-146a-5p",10010,4049,4043,4853,50130,19274,11860,11716,"UBT"
"36","mmu-miR-146b-5p",7741,4101,3822,3503,13745,8135,12358,7564,"UBT"
"37","mmu-miR-154-3p",2415,1185,1555,2219,3515,2018,5752,3798,"UBT"
"40","mmu-miR-15a-5p",6810,4202,3893,3969,11475,6630,7616,5468,"UBT"
"41","mmu-miR-16-5p",55473,29439,27061,33048,110594,50775,63739,42300,"UBT"
"44","mmu-miR-181a-2-3p",277,178,251,207,509,362,614,544,"UBT"
"48","mmu-miR-184-3p",264,171,213,257,1821,1340,2520,2121,"UBT"
"49","mmu-miR-1843a-3p",76,49,75,88,124,96,151,97,"UBT"
"50","mmu-miR-188-3p",65,61,42,26,141,55,96,96,"UBT"
"51","mmu-miR-188-5p",239,209,165,136,699,295,519,412,"UBT"
"54","mmu-miR-193a-3p",326,280,382,274,961,466,488,424,"UBT"
"56","mmu-miR-193b-3p",2957,2424,2343,1911,8009,3667,7394,5973,"UBT"
"57","mmu-miR-193b-5p",106,73,66,63,205,117,170,141,"UBT"
"59","mmu-miR-195a-5p",2116,750,1100,1324,5538,2468,4243,2559,"UBT"
"62","mmu-miR-199b-5p",196211,132751,121131,98355,254331,174166,283280,227353,"UBT"
"65","mmu-miR-200c-3p",78,39,38,64,146,55,73,37,"UBT"
"66","mmu-miR-203-3p",537,250,352,338,1556,1063,1551,806,"UBT"
"67","mmu-miR-204-5p",286,155,2344,2239,1248,810,4316,1945,"UBT"
"70","mmu-miR-210-3p",13105,8415,9090,7463,29861,13591,23470,16902,"UBT"
"71","mmu-miR-210-5p",73,58,65,51,186,78,118,92,"UBT"
"77","mmu-miR-21a-5p",3937820,2535738,5251157,3400740,7602399,4232036,4508334,5981013,"UBT"
"79","mmu-miR-223-3p",4857,1584,366,754,24258,9190,5598,5547,"UBT"
"80","mmu-miR-223-5p",260,126,32,59,1281,612,399,335,"UBT"
"90","mmu-miR-3073a-3p",10,8,4,10,26,22,52,34,"UBT"
"97","mmu-miR-322-3p",27917,17917,17900,17633,92844,56439,83082,42448,"UBT"
"98","mmu-miR-322-5p",7774,4249,3393,3836,37422,22847,30142,18004,"UBT"
"99","mmu-miR-326-3p",882,1057,775,571,2907,1119,1017,1243,"UBT"
"100","mmu-miR-33-3p",113,70,68,84,211,98,190,173,"UBT"
"101","mmu-miR-33-5p",213,201,156,104,750,425,831,754,"UBT"
"102","mmu-miR-335-3p",6098,3535,3045,5816,14051,9680,29339,12775,"UBT"
"103","mmu-miR-335-5p",15026,7143,10217,14392,26591,15375,33201,15954,"UBT"
"106","mmu-miR-340-5p",24300,12367,16406,17559,42143,23528,27152,16850,"UBT"
"107","mmu-miR-342-5p",254,151,148,179,432,247,182,157,"UBT"
"110","mmu-miR-3473b",76,134,116,63,470,231,217,138,"UBT"
"111","mmu-miR-3473e",35,53,42,21,115,58,81,44,"UBT"
"112","mmu-miR-34b-5p",4514,2729,2308,2293,4288,3522,8931,7513,"UBT"
"113","mmu-miR-351-3p",1371,928,913,726,4330,2924,3848,2968,"UBT"
"114","mmu-miR-362-3p",4512,2237,3172,3659,8107,3827,4725,3844,"UBT"
"115","mmu-miR-362-5p",6721,3796,2830,4739,16842,7532,9740,6900,"UBT"
"118","mmu-miR-376a-3p",1335,1118,1327,974,1982,1008,2831,2506,"UBT"
"119","mmu-miR-376b-3p",8471,3728,6785,7432,15243,9563,22005,15595,"UBT"
"120","mmu-miR-376b-5p",535,442,532,1046,1365,759,1913,1048,"UBT"
"121","mmu-miR-382-3p",9282,3754,5342,9628,12102,8189,15962,9141,"UBT"
"122","mmu-miR-383-5p",72,70,265,150,509,433,860,518,"UBT"
"126","mmu-miR-450a-1-3p",429,203,203,285,1334,1022,1053,526,"UBT"
"127","mmu-miR-450a-5p",31004,19569,18069,22344,73612,57079,59804,27791,"UBT"
"128","mmu-miR-450b-3p",2957,1662,2205,2229,5341,4009,4061,2623,"UBT"
"129","mmu-miR-450b-5p",1604,940,489,776,6056,4429,5873,2593,"UBT"
"130","mmu-miR-466i-5p",28,18,19,26,79,55,91,70,"UBT"
"132","mmu-miR-486a-3p",103,74,106,38,176,108,183,155,"UBT"
"133","mmu-miR-497a-3p",12,10,4,4,8,17,30,24,"UBT"
"134","mmu-miR-500-5p",47,49,41,39,110,58,56,49,"UBT"
"135","mmu-miR-503-3p",1727,1004,811,961,4855,3370,4867,2597,"UBT"
"136","mmu-miR-503-5p",11212,11202,6484,5267,59650,37959,53731,34207,"UBT"
"138","mmu-miR-511-3p",287,91,33,73,6677,2506,972,1070,"UBT"
"139","mmu-miR-511-5p",61,40,15,14,1006,417,223,236,"UBT"
"140","mmu-miR-5113",15,18,15,31,53,42,42,33,"UBT"
"141","mmu-miR-5114",1,5,1,0,102,94,64,59,"UBT"
"142","mmu-miR-5116",11,4,3,5,30,27,23,22,"UBT"
"143","mmu-miR-5126",6,15,13,16,34,19,34,31,"UBT"
"145","mmu-miR-542-3p",10649,5939,6613,7999,29745,20421,22621,10670,"UBT"
"149","mmu-miR-675-3p",292,201,224,184,553,265,409,290,"UBT"
"152","mmu-miR-708-3p",1989,1317,1267,820,5995,3219,4103,2614,"UBT"
"153","mmu-miR-708-5p",3005,1908,2378,1910,7957,4472,5635,3386,"UBT"
"154","mmu-miR-7219-3p",19,4,7,3,44,23,15,19,"UBT"
"160","mmu-miR-873a-3p",2,3,6,13,22,13,51,34,"UBT"
"161","mmu-miR-873a-5p",28,47,72,47,207,147,368,303,"UBT"
"162","mmu-miR-876-5p",5,2,12,10,24,27,51,41,"UBT"
"166","mmu-miR-99a-3p",481,395,719,374,1187,746,933,920,"UBT"
"167","mmu-miR-99a-5p",233596,104537,149227,136745,511948,309932,404554,252257,"UBT"
