"logFC","logCPM","LR","PValue","FDR","sig","miRNA"
3.19927080877434,5.82881443145473,95.3710416710259,1.57845830606257e-22,1.00074256604367e-19,"up","mmu-miR-184-3p"
2.77689543820831,10.0896403203573,81.5442911988378,1.71377476014803e-19,4.48796822461679e-17,"up","mmu-miR-503-5p"
-5.39352139812079,2.14849541940282,81.1205103782091,2.1236442703234e-19,4.48796822461679e-17,"down","mmu-miR-448-3p"
6.53917962207489,0.561337857691657,75.9613117829634,2.8927721174144e-18,4.58504380610183e-16,"up","mmu-miR-5114"
3.89347027787098,2.48011474249303,73.9045983656647,8.19851019949982e-18,1.03957109329658e-15,"up","mmu-miR-511-5p"
2.90027082656684,7.97467239439397,72.4890188168516,1.67963971571552e-17,1.54486979551486e-15,"up","mmu-miR-142a-5p"
2.5980545088094,9.23844521349177,72.4586437006039,1.70569220324984e-17,1.54486979551486e-15,"up","mmu-miR-322-5p"
4.18174100146312,4.60264160417366,61.7668829491918,3.86622363719014e-15,3.06398223247318e-13,"up","mmu-miR-511-3p"
2.95553802987987,5.88577719955194,51.4452221377341,7.36229416905007e-13,5.18632722575305e-11,"up","mmu-miR-142a-3p"
3.2205797973345,7.10561288663128,48.1731487063244,3.90195163752998e-12,2.47383733819401e-10,"up","mmu-miR-223-3p"
-1.90568318515581,7.10066316163079,47.9457308745372,4.38181153914895e-12,2.52551683256403e-10,"down","mmu-miR-129-5p"
1.9486198139941,6.55665910368799,45.0345957903351,1.93584064633022e-11,1.0227691414778e-09,"up","mmu-miR-351-3p"
2.51739823141191,4.37363018696158,44.1910225803434,2.97844109872675e-11,1.45256281276366e-09,"up","mmu-miR-33-5p"
2.90049169694314,3.21331478078435,43.2075561408163,4.92301930094916e-11,2.2294244548584e-09,"up","mmu-miR-223-5p"
-4.95129488940567,5.91750297347667,42.0812050866642,8.75607228915142e-11,3.700899887548e-09,"down","mmu-miR-1298-5p"
1.73605575566154,7.88145387928919,40.3371441930902,2.13707047147565e-10,8.46814174322228e-09,"up","mmu-miR-34b-5p"
2.39332635181238,3.15219613672618,39.0436023430914,4.1444504719264e-10,1.54563623482432e-08,"up","mmu-miR-873a-5p"
-3.96192121948561,0.645867753802527,36.7992770215802,1.30938798385634e-09,4.61195545424954e-08,"down","mmu-miR-1298-3p"
2.57204059150745,6.7073436948804,35.9086195435448,2.06791863387504e-09,6.90031796777252e-08,"up","mmu-miR-450b-5p"
1.92562479582174,6.65610382465028,34.4280871528762,4.42294347875975e-09,1.40207308276684e-07,"up","mmu-miR-503-3p"
-1.71599705181615,6.57945887114532,34.3302474115845,4.65096839094967e-09,1.40414950469623e-07,"down","mmu-miR-5099"
1.54879147681411,7.6240125233783,30.7038913218422,3.00561681881352e-08,8.66164119603532e-07,"up","mmu-miR-193b-3p"
-1.62312260072694,7.9867742159115,30.1589648755134,3.98042953772434e-08,1.09721405518141e-06,"down","mmu-miR-132-3p"
-1.52371383779004,7.62121537220821,29.1904380565132,6.5602158779816e-08,1.73299036110014e-06,"down","mmu-miR-27a-5p"
1.49507201118426,8.15025952494626,28.6983080930272,8.45775921410855e-08,2.14488773669793e-06,"up","mmu-miR-136-5p"
-1.41869179729855,6.95565519925015,26.5251278731426,2.60132361050168e-07,6.22007840905741e-06,"down","mmu-miR-18a-5p"
-1.65925429265092,4.66554154695439,26.4900944448018,2.6489292909235e-07,6.22007840905741e-06,"down","mmu-miR-483-3p"
1.67006532568688,10.779417962066,25.8626794709863,3.6658870384718e-07,8.30061565139686e-06,"up","mmu-miR-322-3p"
-1.96638649197979,6.59837085928804,25.4973545600214,4.42989907994331e-07,9.68467591960019e-06,"down","mmu-miR-182-5p"
-3.9703618518224,2.30777280644128,24.6635994898285,6.82613508641118e-07,1.4425898815949e-05,"down","mmu-miR-1264-3p"
2.47286228926513,0.265354370520287,22.93717545183,1.67383183345116e-06,3.42325607228398e-05,"up","mmu-miR-3073a-3p"
-2.30868559116597,6.88291599889396,22.5351456252108,2.06333833479316e-06,4.08798907580894e-05,"down","mmu-miR-124-3p"
1.56254044877904,6.60473665026339,22.3130738092572,2.3162428900017e-06,4.44999391594265e-05,"up","mmu-miR-708-3p"
1.28306148412854,9.17486382175542,22.1328088927976,2.54424098840851e-06,4.74426113720882e-05,"up","mmu-miR-376b-3p"
1.62376674850899,5.06226386215517,22.0243358973407,2.6921530202953e-06,4.74635809536499e-05,"up","mmu-miR-203-3p"
1.31120462075944,8.23600939168944,22.0222410106094,2.69509292481293e-06,4.74635809536499e-05,"up","mmu-miR-146b-5p"
2.60641128245104,3.694691605687,21.9205690141789,2.84171651010834e-06,4.8693196416451e-05,"up","mmu-miR-10a-5p"
2.61033012633357,-0.347920401530592,21.3162747760614,3.89411404019493e-06,6.49702184600943e-05,"up","mmu-miR-497a-3p"
-1.28754634589289,9.68394288182357,21.0538890551219,4.46545582586216e-06,7.25922818870925e-05,"down","mmu-miR-17-5p"
1.52299076558922,3.79446065521437,20.750246482889,5.23248438277493e-06,8.29348774669826e-05,"up","mmu-miR-188-5p"
-1.98977069461448,6.02630044165107,20.3750087715611,6.36556971355427e-06,9.84334438632538e-05,"down","mmu-miR-183-5p"
-3.02154813818041,3.31417230477983,19.845785070319,8.3947629238747e-06,0.000126720945088966,"down","mmu-miR-122-5p"
1.35132431766973,6.67385421847894,19.7885709359923,8.64983527273429e-06,0.000127534780532873,"up","mmu-miR-195a-5p"
1.94543608311127,0.452940413147771,19.2487189219255,1.14747350168451e-05,0.00016534050001545,"up","mmu-miR-876-5p"
1.31841834912774,8.52498654436218,19.1347453175533,1.2180712662273e-05,0.000167881996258284,"up","mmu-miR-146a-5p"
-1.6970017398059,2.98201103639306,19.1495968568518,1.20863027898732e-05,0.000167881996258284,"down","mmu-miR-1247-5p"
-1.5291686849182,3.38980450590324,18.8576913173026,1.40842050697454e-05,0.000186870149208273,"down","mmu-miR-344d-3p"
-2.17029765863165,1.9424328340928,18.8490846533171,1.41478977318567e-05,0.000186870149208273,"down","mmu-miR-124-5p"
1.7207909233688,1.2610330866791,18.7275599635034,1.50787327691735e-05,0.00019119833151312,"up","mmu-miR-466i-5p"
-2.24193586799779,-0.134917923606027,18.7413674692638,1.49699478931226e-05,0.00019119833151312,"down","mmu-miR-363-3p"
2.07465571009038,9.10224082633927,18.5670459190287,1.64031803125496e-05,0.000203914045454048,"up","mmu-miR-335-3p"
1.17165950126882,9.31241311461166,18.0694680029065,2.12989590647827e-05,0.00025759705216806,"up","mmu-miR-210-3p"
-2.04413267154332,0.425197197078842,18.0485606480502,2.15341384304529e-05,0.00025759705216806,"down","mmu-miR-1247-3p"
-1.23318830448334,5.95872787955668,17.9148745848745,2.31008564394261e-05,0.000271221166344373,"down","mmu-miR-193a-5p"
-1.59612037294034,2.06219812365498,17.3293541750535,3.14294217568227e-05,0.000362295516251374,"down","mmu-miR-338-3p"
2.02309662718086,0.321860675122391,16.8827989320795,3.97602678624703e-05,0.000450143032585824,"up","mmu-miR-873a-3p"
-1.1291344739811,10.4130901387886,16.750882244047,4.26224415530266e-05,0.000474081192010857,"down","mmu-miR-20a-5p"
-1.84962203114973,4.99110712267969,16.3529891903035,5.25731767744606e-05,0.000574679208189794,"down","mmu-miR-96-5p"
1.60326146981532,4.31010589451454,15.6165688838167,7.75718866729377e-05,0.000833569087299025,"up","mmu-miR-383-5p"
-1.39912776656659,2.35798228313688,15.5203975004769,8.16197639773205e-05,0.000862448839360353,"down","mmu-miR-92a-1-5p"
-1.06577528092028,7.29819247922472,15.3600027123714,8.88492915642116e-05,0.000923450013962462,"down","mmu-miR-181c-5p"
-1.08563996125543,10.2088140518398,15.2088360572707,9.62519945256797e-05,0.000984254266601306,"down","mmu-miR-19b-3p"
-1.40283064100799,2.42016466737185,15.1571224383291,9.89244365580735e-05,0.000995525282187597,"down","mmu-miR-18a-3p"
-1.61548252084567,2.22511576134114,15.0700765563253,0.00010359250454536,0.00102621324815248,"down","mmu-miR-23a-5p"
1.53705475761584,4.50473573613438,14.858977945812,0.000115855296290232,0.00113003473612318,"up","mmu-miR-450a-1-3p"
1.2088400344124,7.21339666296604,14.1990683886555,0.000164451911797498,0.00156564193234573,"up","mmu-miR-154-3p"
1.11467452306957,13.0017857957688,14.1597595789117,0.000167923740377775,0.00156564193234573,"up","mmu-miR-199b-5p"
-1.43856988743828,1.23917959843675,14.1785453377378,0.000166255431908769,0.00156564193234573,"down","mmu-miR-129-1-3p"
-1.16977579749611,10.2095101674987,14.0947002473654,0.000173832880725189,0.00159724704898217,"down","mmu-miR-744-5p"
1.24342124491648,4.19496419464221,13.6627670164983,0.000218748916157107,0.00196242051304189,"up","mmu-miR-181a-2-3p"
1.12127761435514,6.43100645095413,13.6540538591335,0.000219766335056742,0.00196242051304189,"up","mmu-miR-376a-3p"
-1.11263827449878,7.71897841393864,13.2422067088997,0.000273715488105796,0.00241021693693159,"down","mmu-miR-17-3p"
-1.15441308342028,5.27195765608934,13.0146947610695,0.0003090561404328,0.00268413141143007,"down","mmu-miR-126a-3p"
-1.08161930119685,5.19906977509479,12.8994577899153,0.000328677335203403,0.00281596527728321,"down","mmu-miR-1981-5p"
1.06915713033801,13.3541562090934,12.8396369458187,0.000339353450638118,0.00286866783606089,"up","mmu-miR-99a-5p"
1.77730141002552,-0.00430999282768555,12.7427662936495,0.000357388707994548,0.00298137422195452,"up","mmu-miR-299b-3p"
1.16449274326377,2.33510338268506,11.653016991948,0.000640984950012881,0.00514410706719199,"up","mmu-miR-193b-5p"
1.4108426745821,1.60170554717669,11.3840401762825,0.00074077820173268,0.00587066724873149,"up","mmu-miR-188-3p"
-1.73131087384081,-0.0590965487704457,11.1612006049338,0.000835258509418532,0.00653770240705369,"down","mmu-miR-3075-5p"
-1.14390346880722,2.41307734284289,10.9072573773058,0.000957882394680087,0.0074060663198436,"down","mmu-miR-20a-3p"
1.14494466653198,11.7523283352539,10.7533774190997,0.00104089186220169,0.00795090892332374,"up","mmu-miR-30c-5p"
-1.75081751809108,0.470337457623395,10.4729672098953,0.00121134003043699,0.00914273308686964,"down","mmu-miR-3061-3p"
1.15722766420111,2.56507195218229,10.2852820741611,0.00134095518706063,0.00988564637902838,"up","mmu-miR-33-3p"
