"target_symbol","target_entrez","target_ensembl"
"Myc","17869","ENSMUSG00000022346"
"Btg2","12227","ENSMUSG00000020423"
"Mtpn","14489","ENSMUSG00000029840"
"Bdnf","12064","ENSMUSG00000048482"
"Rock2","19878","ENSMUSG00000020580"
"Sema4f","20355","ENSMUSG00000000627"
"Slc1a4","55963","ENSMUSG00000020142"
"Mtfr1","67472","ENSMUSG00000027601"
"Camsap2","67886","ENSMUSG00000041570"
"Spire1","68166","ENSMUSG00000024533"
"Ipo5","70572","ENSMUSG00000030662"
"N4bp1","80750","ENSMUSG00000031652"
"Senp5","320213","ENSMUSG00000022772"
"Uba6","231380","ENSMUSG00000035898"
"Utrn","22288","ENSMUSG00000019820"
"Itgb1","16412","ENSMUSG00000025809"
"Celf1","13046","ENSMUSG00000005506"
"Enc1","13803","ENSMUSG00000041773"
"Igf1r","16001","ENSMUSG00000005533"
"Ktn1","16709","ENSMUSG00000021843"
"Myo1c","17913","ENSMUSG00000017774"
"Dusp8","18218","ENSMUSG00000037887"
"Rest","19712","ENSMUSG00000029249"
"Tnfaip1","21927","ENSMUSG00000017615"
"Ets1","23871","ENSMUSG00000032035"
"Amot","27494","ENSMUSG00000041688"
"Pgrmc1","53328","ENSMUSG00000006373"
"Arl5a","75423","ENSMUSG00000036093"
"Pard6g","93737","ENSMUSG00000056214"
"Ank2","109676","ENSMUSG00000032826"
"Cdc42bpa","226751","ENSMUSG00000026490"
"Cavin2","20324","ENSMUSG00000045954"
"Smad7","17131","ENSMUSG00000025880"
"Timp3","21859","ENSMUSG00000020044"
"Atp2a2","11938","ENSMUSG00000029467"
"Ikbkg","16151","ENSMUSG00000004221"
"Dusp1","19252","ENSMUSG00000024190"
"Skil","20482","ENSMUSG00000027660"
"Slc20a1","20515","ENSMUSG00000027397"
"Dlc1","50768","ENSMUSG00000031523"
"Fam135a","68187","ENSMUSG00000026153"
"Nol8","70930","ENSMUSG00000021392"
"Fam118a","73225","ENSMUSG00000022434"
"Flna","192176","ENSMUSG00000031328"
"Ankrd52","237615","ENSMUSG00000014498"
"Ercc6","319955","ENSMUSG00000054051"
"Agap1","347722","ENSMUSG00000055013"
"Cnih1","12793","ENSMUSG00000015759"
"Hes1","15205","ENSMUSG00000022528"
"Tgif1","21815","ENSMUSG00000047407"
"Mllt3","70122","ENSMUSG00000028496"
"EGR1","1958","ENSG00000120738"
"Ncam1","17967","ENSMUSG00000039542"
"Acot2","171210","ENSMUSG00000021226"
"Slco2a1","24059","ENSMUSG00000032548"
"Cdkn1a","12575","ENSMUSG00000023067"
"Gls","14660","ENSMUSG00000026103"
"Ajuba","16475","ENSMUSG00000022178"
"Zmat3","22401","ENSMUSG00000027663"
"Il1rl1","17082","ENSMUSG00000026069"
"Lats1","16798","ENSMUSG00000040021"
"Tnfrsf10b","21933","ENSMUSG00000022074"
"Cdk8","264064","ENSMUSG00000029635"
"Rnd1","223881","ENSMUSG00000054855"
"Ripor2","193385","ENSMUSG00000036006"
"Aebp2","11569","ENSMUSG00000030232"
"Hyou1","12282","ENSMUSG00000032115"
"Pitpnm2","19679","ENSMUSG00000029406"
"Plk2","20620","ENSMUSG00000021701"
"Grem2","23893","ENSMUSG00000050069"
"Amotl2","56332","ENSMUSG00000032531"
"Bcl11b","58208","ENSMUSG00000048251"
"Tulp4","68842","ENSMUSG00000034377"
"Kctd5","69259","ENSMUSG00000016946"
"Cdca4","71963","ENSMUSG00000047832"
"Rictor","78757","ENSMUSG00000050310"
"Fermt2","218952","ENSMUSG00000037712"
"Ablim1","226251","ENSMUSG00000025085"
"Ankrd13b","268445","ENSMUSG00000037907"
"Ncl","17975","ENSMUSG00000026234"
"Hmga2","15364","ENSMUSG00000056758"
"Sox11","20666","ENSMUSG00000063632"
"Eif5a","276770","ENSMUSG00000078812"
"Ccnd2","12444","ENSMUSG00000000184"
"Slc7a1","11987","ENSMUSG00000041313"
"Cav1","12389","ENSMUSG00000007655"
"Hbegf","15200","ENSMUSG00000024486"
"Plat","18791","ENSMUSG00000031538"
"Ugcg","22234","ENSMUSG00000028381"
"Fubp1","51886","ENSMUSG00000028034"
"Tmeff2","56363","ENSMUSG00000026109"
"Luc7l","66978","ENSMUSG00000024188"
"Ttc39b","69863","ENSMUSG00000038172"
"Nolc1","70769","ENSMUSG00000015176"
"Xpo5","72322","ENSMUSG00000067150"
"Glce","93683","ENSMUSG00000032252"
"Zfp365","216049","ENSMUSG00000037855"
"Zfp697","242109","ENSMUSG00000050064"
"Nectin1","58235","ENSMUSG00000032012"
"Fam91a1","210998","ENSMUSG00000037119"
"Itga5","16402","ENSMUSG00000000555"
"Sdc4","20971","ENSMUSG00000017009"
"Angptl2","26360","ENSMUSG00000004105"
"Axl","26362","ENSMUSG00000002602"
"Slc38a1","105727","ENSMUSG00000023169"
"Psat1","107272","ENSMUSG00000024640"
"Rap1gap2","380711","ENSMUSG00000038807"
"Rgs17","56533","ENSMUSG00000019775"
"Inhba","16323","ENSMUSG00000041324"
"Inhbb","16324","ENSMUSG00000037035"
"Ncs1","14299","ENSMUSG00000062661"
"Rgs5","19737","ENSMUSG00000026678"
"Tomm70a","28185","ENSMUSG00000022752"
"Atl2","56298","ENSMUSG00000059811"
"Tmx3","67988","ENSMUSG00000024614"
"Lims1","110829","ENSMUSG00000019920"
"Ran","19384","ENSMUSG00000029430"
"Zfp518b","100515","ENSMUSG00000046572"
"Steap2","74051","ENSMUSG00000015653"
"Has2","15117","ENSMUSG00000022367"
"Zfp729a","212281","ENSMUSG00000021510"
"Cpox","12892","ENSMUSG00000022742"
"Cyld","74256","ENSMUSG00000036712"
"Maff","17133","ENSMUSG00000042622"
"Acan","11595","ENSMUSG00000030607"
"Nfkbiz","80859","ENSMUSG00000035356"
"Dst","13518","ENSMUSG00000026131"
"Utp4","21771","ENSMUSG00000041438"
"Syt13","80976","ENSMUSG00000027220"
"Sema3e","20349","ENSMUSG00000063531"
"Noc3l","57753","ENSMUSG00000024999"
"Dzip1l","72507","ENSMUSG00000037784"
"Pus7","78697","ENSMUSG00000057541"
"Unc5c","22253","ENSMUSG00000059921"
"Wfs1","22393","ENSMUSG00000039474"
"Thsd4","207596","ENSMUSG00000032289"
"Cep170b","217882","ENSMUSG00000072825"
"Nol9","74035","ENSMUSG00000028948"
"Set","56086","ENSMUSG00000054766"
"Fosl2","14284","ENSMUSG00000029135"
"Crim1","50766","ENSMUSG00000024074"
"Cyb5r1","72017","ENSMUSG00000026456"
"Larp1","73158","ENSMUSG00000037331"
"Loxl2","94352","ENSMUSG00000034205"
"Kctd11","216858","ENSMUSG00000046731"
"2900026A02Rik","243219","ENSMUSG00000051339"
"Soat2","223920","ENSMUSG00000023045"
"Flnb","286940","ENSMUSG00000025278"
"Urb2","382038","ENSMUSG00000031976"
"Lrrc32","434215","ENSMUSG00000090958"
"Slc39a14","213053","ENSMUSG00000022094"
"Mdm2","17246","ENSMUSG00000020184"
"Micall1","27008","ENSMUSG00000033039"
"Zic2","22772","ENSMUSG00000061524"
"Flrt2","399558","ENSMUSG00000047414"
"Coch","12810","ENSMUSG00000020953"
"Mthfd2","17768","ENSMUSG00000005667"
"Pdzd8","107368","ENSMUSG00000074746"
"Zzz3","108946","ENSMUSG00000039068"
"Serpine1","18787","ENSMUSG00000037411"
"Slc16a1","20501","ENSMUSG00000032902"
"Pmepa1","65112","ENSMUSG00000038400"
"Bmpr2","12168","ENSMUSG00000067336"
"Hspg2","15530","ENSMUSG00000028763"
"Myh9","17886","ENSMUSG00000022443"
"Errfi1","74155","ENSMUSG00000028967"
"Actn1","109711","ENSMUSG00000015143"
"Hspa5","14828","ENSMUSG00000026864"
"Rrp12","107094","ENSMUSG00000035049"
"Fos","14281","ENSMUSG00000021250"
"Lats2","50523","ENSMUSG00000021959"
"Ptgs2","19225","ENSMUSG00000032487"
"Sgk1","20393","ENSMUSG00000019970"
"Siah2","20439","ENSMUSG00000036432"
"Ncor2","20602","ENSMUSG00000029478"
"Thbd","21824","ENSMUSG00000074743"
"Vldlr","22359","ENSMUSG00000024924"
"Atp11a","50770","ENSMUSG00000031441"
"Hspbap1","66667","ENSMUSG00000022849"
"Nuak1","77976","ENSMUSG00000020032"
"Arl14ep","212772","ENSMUSG00000027122"
"Igsf9b","235086","ENSMUSG00000034275"
"Smurf1","75788","ENSMUSG00000038780"
"Mfge8","17304","ENSMUSG00000030605"
"Plcxd2","433022","ENSMUSG00000087141"
"Phactr4","100169","ENSMUSG00000066043"
"Pdlim5","56376","ENSMUSG00000028273"
"Arhgdig","14570","ENSMUSG00000073433"
"Hspa4","15525","ENSMUSG00000020361"
"Rrm2","20135","ENSMUSG00000020649"
"Traf4","22032","ENSMUSG00000017386"
"Mafk","17135","ENSMUSG00000018143"
"Tagln","21345","ENSMUSG00000032085"
"Hsp90b1","22027","ENSMUSG00000020048"
"Fads3","60527","ENSMUSG00000024664"
"Crip2","68337","ENSMUSG00000006356"
"Frmd6","319710","ENSMUSG00000048285"
"Fstl3","83554","ENSMUSG00000020325"
"Tram2","170829","ENSMUSG00000041779"
"Ier3","15937","ENSMUSG00000003541"
"Smim3","106878","ENSMUSG00000038059"
"Il31ra","218624","ENSMUSG00000050377"
"Farp2","227377","ENSMUSG00000034066"
"Phldb1","102693","ENSMUSG00000048537"
"Aldh1l2","216188","ENSMUSG00000020256"
"Siglecg","243958","ENSMUSG00000030468"
"Mical2","320878","ENSMUSG00000038244"
"Gadd45g","23882","ENSMUSG00000021453"
"Eef1g","67160","ENSMUSG00000071644"
"Angptl6","70726","ENSMUSG00000038742"
"Clcf1","56708","ENSMUSG00000040663"
"Podnl1","244550","ENSMUSG00000012889"
"Nectin2","19294","ENSMUSG00000062300"
"Epb41l3","13823","ENSMUSG00000024044"
"Carnmt1","67383","ENSMUSG00000024726"
"Cep83","77048","ENSMUSG00000020024"
"Ak1","11636","ENSMUSG00000026817"
"Canx","12330","ENSMUSG00000020368"
"Rb1cc1","12421","ENSMUSG00000025907"
"Cct2","12461","ENSMUSG00000034024"
"Cfl2","12632","ENSMUSG00000062929"
"Gadd45a","13197","ENSMUSG00000036390"
"Egr1","13653","ENSMUSG00000038418"
"Eif1a","13664","ENSMUSG00000057561"
"Kpna4","16649","ENSMUSG00000027782"
"Map6","17760","ENSMUSG00000055407"
"Ppp1r15a","17872","ENSMUSG00000040435"
"Plec","18810","ENSMUSG00000022565"
"Ptpn14","19250","ENSMUSG00000026604"
"Serpinf1","20317","ENSMUSG00000000753"
"Slc7a5","20539","ENSMUSG00000040010"
"Srm","20810","ENSMUSG00000006442"
"Klf10","21847","ENSMUSG00000037465"
"Abce1","24015","ENSMUSG00000058355"
"Plod2","26432","ENSMUSG00000032374"
"Sacs","50720","ENSMUSG00000048279"
"Mapk6","50772","ENSMUSG00000042688"
"Myadm","50918","ENSMUSG00000068566"
"Pvr","52118","ENSMUSG00000040511"
"Stbd1","52331","ENSMUSG00000047963"
"Ybx3","56449","ENSMUSG00000030189"
"Pmaip1","58801","ENSMUSG00000024521"
"Sh3rf1","59009","ENSMUSG00000031642"
"Actn4","60595","ENSMUSG00000054808"
"Dcbld1","66686","ENSMUSG00000019891"
"Ppfibp1","67533","ENSMUSG00000016487"
"Ddah1","69219","ENSMUSG00000028194"
"Acot7","70025","ENSMUSG00000028937"
"Arid5b","71371","ENSMUSG00000019947"
"Tsc22d2","72033","ENSMUSG00000027806"
"Xpot","73192","ENSMUSG00000034667"
"Ddit4","74747","ENSMUSG00000020108"
"Ascc2","75452","ENSMUSG00000020412"
"Bicd2","76895","ENSMUSG00000037933"
"Chst1","76969","ENSMUSG00000027221"
"Nkrf","77286","ENSMUSG00000044149"
"Uck2","80914","ENSMUSG00000026558"
"Mbnl2","105559","ENSMUSG00000022139"
"Unc5b","107449","ENSMUSG00000020099"
"Slc19a2","116914","ENSMUSG00000040918"
"Sec63","140740","ENSMUSG00000019802"
"Snx18","170625","ENSMUSG00000042364"
"Arhgap29","214137","ENSMUSG00000039831"
"Cdc73","214498","ENSMUSG00000026361"
"Nol10","217431","ENSMUSG00000061458"
"Adcy5","224129","ENSMUSG00000022840"
"Glipr2","384009","ENSMUSG00000028480"
"Lmna","16905","ENSMUSG00000028063"
"Eif4g1","208643","ENSMUSG00000045983"
"Cdsn","386463","ENSMUSG00000039518"
"Bcat1","12035","ENSMUSG00000030268"
"Piezo1","234839","ENSMUSG00000014444"
"Cd44","12505","ENSMUSG00000005087"
"Mex3c","240396","ENSMUSG00000037253"
"Rrn3","106298","ENSMUSG00000022682"
"Coq10b","67876","ENSMUSG00000025981"
"Filip1l","78749","ENSMUSG00000043336"
"Peg10","170676","ENSMUSG00000092035"
"Tead4","21679","ENSMUSG00000030353"
"Flnc","68794","ENSMUSG00000068699"
"Taf4b","72504","ENSMUSG00000054321"
"Tnk2","51789","ENSMUSG00000022791"
"Kctd9","105440","ENSMUSG00000034327"
"Uba3","22200","ENSMUSG00000030061"
"Csf1","12977","ENSMUSG00000014599"
"Ltbp4","108075","ENSMUSG00000040488"
"Nudcd1","67429","ENSMUSG00000038736"
"Tcf20","21411","ENSMUSG00000041852"
"Rhbdd1","76867","ENSMUSG00000026142"
"Lrrc8d","231549","ENSMUSG00000046079"
"Trp53","22059","ENSMUSG00000059552"
"Tiam1","21844","ENSMUSG00000002489"
"Ptpn21","24000","ENSMUSG00000021009"
"Nap1l1","53605","ENSMUSG00000058799"
"Kctd10","330171","ENSMUSG00000001098"
"Gemin5","216766","ENSMUSG00000037275"
"Gtse1","29870","ENSMUSG00000022385"
"Abcf2","27407","ENSMUSG00000028953"
"Bcar1","12927","ENSMUSG00000031955"
"Arhgef2","16800","ENSMUSG00000028059"
"Tcof1","21453","ENSMUSG00000024613"
"Ghitm","66092","ENSMUSG00000041028"
"Chd1","12648","ENSMUSG00000023852"
"Csrp1","13007","ENSMUSG00000026421"
"Eif4ebp1","13685","ENSMUSG00000031490"
"Hdgf","15191","ENSMUSG00000004897"
"Junb","16477","ENSMUSG00000052837"
"Npm1","18148","ENSMUSG00000057113"
"Ctnnd2","18163","ENSMUSG00000022240"
"Pabpc1","18458","ENSMUSG00000022283"
"Pip5k1a","18720","ENSMUSG00000028126"
"Plxna1","18844","ENSMUSG00000030084"
"Polr1a","20019","ENSMUSG00000049553"
"Pdia4","12304","ENSMUSG00000025823"
"Ccng1","12450","ENSMUSG00000020326"
"Eif3a","13669","ENSMUSG00000024991"
"Epha2","13836","ENSMUSG00000006445"
"Ephx1","13849","ENSMUSG00000038776"
"Fosl1","14283","ENSMUSG00000024912"
"Hspa9","15526","ENSMUSG00000024359"
"Ier2","15936","ENSMUSG00000053560"
"Cited2","17684","ENSMUSG00000039910"
"Pdcd11","18572","ENSMUSG00000025047"
"Plaur","18793","ENSMUSG00000046223"
"Pa2g4","18813","ENSMUSG00000025364"
"Prep","19072","ENSMUSG00000019849"
"Rgs16","19734","ENSMUSG00000026475"
"Sema7a","20361","ENSMUSG00000038264"
"Zyx","22793","ENSMUSG00000029860"
"Polk","27015","ENSMUSG00000021668"
"Ifrd1","15982","ENSMUSG00000001627"
"Col5a1","12831","ENSMUSG00000026837"
"Mybbp1a","18432","ENSMUSG00000040463"
"Bysl","53414","ENSMUSG00000023988"
"Pdlim1","54132","ENSMUSG00000055044"
"Nfil3","18030","ENSMUSG00000056749"
"Abcb10","56199","ENSMUSG00000031974"
"Ddx21","56200","ENSMUSG00000020075"
"Ube2j1","56228","ENSMUSG00000028277"
"Nek7","59125","ENSMUSG00000026393"
"Herpud1","64209","ENSMUSG00000031770"
"Mrto4","69902","ENSMUSG00000028741"
"Mtap","66902","ENSMUSG00000062937"
"Smurf2","66313","ENSMUSG00000018363"
"Rsl1d1","66409","ENSMUSG00000005846"
"Eif2s2","67204","ENSMUSG00000074656"
"Pkp2","67451","ENSMUSG00000041957"
"Atic","108147","ENSMUSG00000026192"
"Lurap1l","52829","ENSMUSG00000048706"
"Ptar1","72351","ENSMUSG00000074925"
"Shmt2","108037","ENSMUSG00000025403"
"Zfp131","72465","ENSMUSG00000094870"
"Dis3","72662","ENSMUSG00000033166"
"Rnd3","74194","ENSMUSG00000017144"
"Pwp2","110816","ENSMUSG00000032834"
"Idh3a","67834","ENSMUSG00000032279"
"Cxcr6","80901","ENSMUSG00000048521"
"Lrrc59","98238","ENSMUSG00000020869"
"Sh3bp4","98402","ENSMUSG00000036206"
"Ppp1r15b","108954","ENSMUSG00000046062"
"Ripk2","192656","ENSMUSG00000041135"
"Slc39a6","106957","ENSMUSG00000024270"
"Etf1","225363","ENSMUSG00000024360"
"Nsun2","28114","ENSMUSG00000021595"
"Me2","107029","ENSMUSG00000024556"
"Cth","107869","ENSMUSG00000028179"
"Eif3c","56347","ENSMUSG00000030738"
"Las1l","76130","ENSMUSG00000057421"
"Gnl3","30877","ENSMUSG00000042354"
"Fam20a","208659","ENSMUSG00000020614"
"Zmpste24","230709","ENSMUSG00000043207"
"Naa25","231713","ENSMUSG00000042719"
"Trib3","228775","ENSMUSG00000032715"
"Dock5","68813","ENSMUSG00000044447"
"Wipi2","74781","ENSMUSG00000029578"
"Pkn2","109333","ENSMUSG00000004591"
"Atxn2l","233871","ENSMUSG00000032637"
"Tra2a","101214","ENSMUSG00000029817"
"Nop56","67134","ENSMUSG00000027405"
"Cyp20a1","77951","ENSMUSG00000049439"
"Ddit3","13198","ENSMUSG00000025408"
"Lonp1","74142","ENSMUSG00000041168"
"Pop1","67724","ENSMUSG00000022325"
"Ipo7","233726","ENSMUSG00000066232"
"Inf2","70435","ENSMUSG00000037679"
"Arhgap35","232906","ENSMUSG00000058230"
"Diaph3","56419","ENSMUSG00000022021"
"Pidd1","57913","ENSMUSG00000025507"
"Pcdhga8","93716","ENSMUSG00000103897"
"Itga3","16400","ENSMUSG00000001507"
"C1qbp","12261","ENSMUSG00000018446"
"Odc1","18263","ENSMUSG00000011179"
"Ryk","20187","ENSMUSG00000032547"
"Hspd1","15510","ENSMUSG00000025980"
"Lox","16948","ENSMUSG00000024529"
"S100a6","20200","ENSMUSG00000001025"
"Plod3","26433","ENSMUSG00000004846"
"Cxcl14","57266","ENSMUSG00000021508"
"Rpl12","269261","ENSMUSG00000038900"
"Tpm4","326618","ENSMUSG00000031799"
"Hbs1l","56422","ENSMUSG00000019977"
"Timp1","21857","ENSMUSG00000001131"
"AW209491","105351","ENSMUSG00000039182"
"Serbp1","66870","ENSMUSG00000036371"
"Tiam2","24001","ENSMUSG00000023800"
"Tcea1","21399","ENSMUSG00000033813"
"Eda2r","245527","ENSMUSG00000034457"
"Tnfrsf12a","27279","ENSMUSG00000023905"
"Myef2","17876","ENSMUSG00000027201"
"Aen","68048","ENSMUSG00000030609"
"Rabggtb","19352","ENSMUSG00000038975"
"Mthfd1l","270685","ENSMUSG00000040675"
"Psrc1","56742","ENSMUSG00000068744"
"Cdr2","12585","ENSMUSG00000030878"
"Col5a2","12832","ENSMUSG00000026042"
"Fscn1","14086","ENSMUSG00000029581"
"Nqo1","18104","ENSMUSG00000003849"
"Tnfrsf11b","18383","ENSMUSG00000063727"
"Pla2g4a","18783","ENSMUSG00000056220"
"Hsp90aa1","15519","ENSMUSG00000021270"
"Ptprf","19268","ENSMUSG00000033295"
"Eif1","20918","ENSMUSG00000035530"
"Uchl1","22223","ENSMUSG00000029223"
"Phlda3","27280","ENSMUSG00000041801"
"Timm8a1","30058","ENSMUSG00000048007"
"Nop58","55989","ENSMUSG00000026020"
"Aldh18a1","56454","ENSMUSG00000025007"
"Hnrnph1","59013","ENSMUSG00000007850"
"Rras2","66922","ENSMUSG00000055723"
"Srfbp1","67222","ENSMUSG00000024528"
"Rrp15","67223","ENSMUSG00000001305"
"Ppa1","67895","ENSMUSG00000020089"
"Rps27l","67941","ENSMUSG00000036781"
"Chac1","69065","ENSMUSG00000027313"
"Vgll3","73569","ENSMUSG00000091243"
"Prss23","76453","ENSMUSG00000039405"
"Psph","100678","ENSMUSG00000029446"
"Nomo1","211548","ENSMUSG00000030835"
"Cd109","235505","ENSMUSG00000046186"
"Grwd1","101612","ENSMUSG00000053801"
"Gprc5a","232431","ENSMUSG00000046733"
"Gpr176","381413","ENSMUSG00000040133"
"Atf4","11911","ENSMUSG00000042406"
"Phgdh","236539","ENSMUSG00000053398"
"Steap1","70358","ENSMUSG00000015652"
"Asns","27053","ENSMUSG00000029752"
"Pum3","52874","ENSMUSG00000041360"
"Tarbp1","212728","ENSMUSG00000090290"
"Srf","20807","ENSMUSG00000015605"
"Fam131b","76156","ENSMUSG00000029861"
"Klhdc8a","213417","ENSMUSG00000042115"
"Tead1","21676","ENSMUSG00000055320"
"Rrs1","59014","ENSMUSG00000061024"
"Trim59","66949","ENSMUSG00000034317"
"Mta1","116870","ENSMUSG00000021144"
"Wwc2","52357","ENSMUSG00000031563"
"Tmcc2","68875","ENSMUSG00000042066"
"Nop2","110109","ENSMUSG00000038279"
"Ass1","11898","ENSMUSG00000076441"
"Tgfb3","21809","ENSMUSG00000021253"
"Klf5","12224","ENSMUSG00000005148"
"Ldlrad4","52662","ENSMUSG00000024544"
"Pdlim7","67399","ENSMUSG00000021493"
"S100a4","20198","ENSMUSG00000001020"
"Pdgfc","54635","ENSMUSG00000028019"
"Ttll7","70892","ENSMUSG00000036745"
"Bmper","73230","ENSMUSG00000031963"
"Pck2","74551","ENSMUSG00000040618"
"Sesn2","230784","ENSMUSG00000028893"
"Erfe","227358","ENSMUSG00000047443"
"Cdc42ep3","260409","ENSMUSG00000036533"
"Lyar","17089","ENSMUSG00000067367"
"Kansl2","69612","ENSMUSG00000022992"
"Rin1","225870","ENSMUSG00000024883"
"Igfbp7","29817","ENSMUSG00000036256"
"Parm1","231440","ENSMUSG00000034981"
"Lrrc3","237387","ENSMUSG00000051652"
"Tsku","244152","ENSMUSG00000049580"
"Eif2b3","108067","ENSMUSG00000028683"
"Cdv3","321022","ENSMUSG00000032803"
"Loxl4","67573","ENSMUSG00000025185"
"Otub2","68149","ENSMUSG00000021203"
"Rassf1","56289","ENSMUSG00000010067"
"Gjb2","14619","ENSMUSG00000046352"
"Gnpnat1","54342","ENSMUSG00000037722"
"Rcl1","59028","ENSMUSG00000024785"
"Ftsj3","56095","ENSMUSG00000020706"
"Polr2l","66491","ENSMUSG00000038489"
"Tubb6","67951","ENSMUSG00000001473"
"Syde1","71709","ENSMUSG00000032714"
"Otud6b","72201","ENSMUSG00000040550"
"Wdr43","72515","ENSMUSG00000041057"
"Rgs4","19736","ENSMUSG00000038530"
"Mak16","67920","ENSMUSG00000031578"
"Arxes2","76976","ENSMUSG00000048040"
"Elovl4","83603","ENSMUSG00000032262"
"Slc6a9","14664","ENSMUSG00000028542"
"Ppan","235036","ENSMUSG00000004100"
"Fhl2","14200","ENSMUSG00000008136"
"Myo19","66196","ENSMUSG00000020527"
"Msantd3","66665","ENSMUSG00000039693"
"Crlf1","12931","ENSMUSG00000007888"
"Ereg","13874","ENSMUSG00000029377"
"Gadd45b","17873","ENSMUSG00000015312"
"Gdnf","14573","ENSMUSG00000022144"
"Adpgk","72141","ENSMUSG00000025236"
"Jph2","59091","ENSMUSG00000017817"
"Ankrd1","107765","ENSMUSG00000024803"
"Anxa8","11752","ENSMUSG00000021950"
"Pabpc4","230721","ENSMUSG00000011257"
"Ptk7","71461","ENSMUSG00000023972"
"Tnn","329278","ENSMUSG00000026725"
"Crispld2","78892","ENSMUSG00000031825"
"Atf5","107503","ENSMUSG00000038539"
