miRNA,D0PF1,D0PF2,D0SAG1,D0SAG2,D7PF1,D7PF2,D7SAG1,D7SAG2
mmu-miR-6925-5p,2,2,4,2,0,4,3,4
mmu-miR-6922-5p,1,0,0,1,2,1,1,1
mmu-miR-6922-3p,2,1,2,1,4,1,1,4
mmu-miR-6921-5p,0,3,0,0,0,1,2,0
mmu-miR-6921-3p,0,0,1,1,1,0,0,2
mmu-miR-6920-5p,1,0,1,0,1,0,1,1
mmu-miR-6920-3p,1,0,2,0,0,0,0,0
mmu-miR-692,0,0,0,0,0,0,1,1
mmu-miR-6919-3p,0,0,1,0,0,0,0,0
mmu-miR-6918-5p,3,6,3,0,2,0,0,0
mmu-miR-6916-5p,3,1,0,2,4,1,3,3
mmu-miR-6916-3p,0,1,2,0,1,1,0,0
mmu-miR-6915-5p,3,0,0,0,0,0,1,0
mmu-miR-6915-3p,3,1,0,2,1,0,1,0
mmu-miR-6914-5p,1,1,0,1,2,1,1,0
mmu-miR-6913-5p,0,0,0,0,2,0,0,1
mmu-miR-6913-3p,2,0,0,0,1,0,3,0
mmu-miR-6912-5p,4,2,0,4,3,1,1,0
mmu-miR-6912-3p,1,0,0,7,0,0,0,1
mmu-miR-6911-5p,1,1,0,0,1,0,1,0
mmu-miR-6911-3p,14,3,2,10,12,12,10,3
mmu-miR-6910-5p,0,0,0,0,0,1,0,0
mmu-miR-6910-3p,4,6,5,2,2,2,4,4
mmu-miR-6909-3p,2,2,0,0,0,1,0,0
mmu-miR-6908-5p,0,1,0,0,0,0,0,0
mmu-miR-6907-3p,0,0,0,0,1,0,0,0
mmu-miR-6906-5p,0,0,2,0,0,0,0,0
mmu-miR-6905-5p,0,0,0,2,1,0,1,0
mmu-miR-6904-5p,0,0,1,0,3,0,2,1
mmu-miR-6903-5p,4,2,2,3,0,0,2,1
mmu-miR-6902-5p,7,1,3,4,4,1,3,4
mmu-miR-6902-3p,1,0,0,0,2,2,0,2
mmu-miR-6901-5p,61,55,41,31,40,40,41,48
mmu-miR-6901-3p,4,2,1,1,0,0,3,1
mmu-miR-6900-5p,1,2,12,5,4,2,3,0
mmu-miR-6900-3p,4,5,0,4,4,4,1,1
mmu-miR-690,50,78,68,65,151,50,79,91
mmu-miR-6899-5p,3,0,0,1,0,0,0,0
mmu-miR-6899-3p,3,2,3,9,3,0,2,2
mmu-miR-6898-5p,5,3,4,4,0,4,3,2
mmu-miR-6898-3p,0,0,0,0,2,0,1,0
mmu-miR-6897-5p,4,4,1,3,2,0,3,2
mmu-miR-6896-5p,5,8,3,6,4,1,8,2
mmu-miR-6896-3p,0,0,2,1,0,0,0,0
mmu-miR-688,1,0,3,0,2,0,5,2
mmu-miR-682,0,1,0,1,0,0,1,0
mmu-miR-679-5p,1031,841,1213,962,571,421,1139,828
mmu-miR-679-3p,77,39,107,62,52,42,83,59
mmu-miR-677-5p,300,334,308,255,201,125,272,206
mmu-miR-677-3p,52,102,47,38,18,10,20,17
mmu-miR-676-5p,894,752,1049,829,908,561,853,627
mmu-miR-676-3p,3240,2356,2654,2775,3584,2696,2987,2260
mmu-miR-675-5p,113,105,90,67,196,116,131,127
mmu-miR-675-3p,292,201,224,184,553,265,409,290
mmu-miR-674-5p,2881,1832,2563,2045,3187,1735,3039,2350
mmu-miR-674-3p,8790,8400,12122,8309,7741,4594,7939,7189
mmu-miR-673-5p,1581,1277,1676,1401,2166,1271,2986,2409
mmu-miR-673-3p,370,292,451,361,315,251,431,396
mmu-miR-672-5p,44,39,18,53,38,32,96,65
mmu-miR-672-3p,2,5,0,2,0,2,0,5
mmu-miR-6715-5p,0,0,0,0,1,0,0,0
mmu-miR-671-5p,1323,1666,1784,1214,1450,731,1701,1443
mmu-miR-671-3p,980,949,1184,731,557,410,881,803
mmu-miR-670-5p,1,0,2,4,0,1,0,1
mmu-miR-670-3p,2,1,0,4,0,0,0,1
mmu-miR-669p-5p,626,441,251,542,488,273,857,403
mmu-miR-669p-3p,32,13,22,31,14,9,26,13
mmu-miR-669o-5p,145,103,42,119,112,70,192,84
mmu-miR-669o-3p,1766,771,939,1545,1329,766,1868,1183
mmu-miR-669m-5p,11,8,13,14,12,12,21,26
mmu-miR-669m-3p,18,9,9,8,13,7,13,8
mmu-miR-669l-5p,117,78,58,105,90,58,159,75
mmu-miR-669l-3p,4,2,4,12,9,2,13,5
mmu-miR-669k-5p,5,6,4,5,4,3,5,1
mmu-miR-669k-3p,0,1,0,0,0,0,0,2
mmu-miR-669i,4,2,4,2,1,0,3,1
mmu-miR-669h-5p,19,6,7,7,6,6,11,6
mmu-miR-669h-3p,2,5,2,5,1,1,3,2
mmu-miR-669g,1,0,1,1,1,0,0,0
mmu-miR-669f-5p,68,39,48,55,50,27,83,58
mmu-miR-669f-3p,183,102,108,145,94,73,210,153
mmu-miR-669e-5p,88,52,41,81,45,46,114,52
mmu-miR-669e-3p,24,7,12,19,18,8,13,9
mmu-miR-669d-5p,510,296,381,367,246,147,397,298
mmu-miR-669d-3p,4,4,6,7,4,2,14,6
mmu-miR-669d-2-3p,4,4,6,10,4,2,14,6
mmu-miR-669c-5p,649,511,179,707,774,703,1336,436
mmu-miR-669c-3p,15,4,4,7,9,4,9,5
mmu-miR-669b-5p,248,157,191,213,179,106,291,166
mmu-miR-669b-3p,31,16,16,23,18,3,26,23
mmu-miR-669a-5p,626,441,251,542,488,273,857,403
mmu-miR-669a-3p,1766,771,939,1545,1329,766,1868,1183
mmu-miR-669a-3-3p,30,17,42,26,37,11,37,25
mmu-miR-668-5p,12,15,18,10,6,7,20,8
mmu-miR-668-3p,1032,858,1167,1148,863,570,1438,1120
mmu-miR-667-5p,427,379,496,383,275,180,384,383
mmu-miR-667-3p,2212,1801,2547,2092,1596,938,2702,2654
mmu-miR-666-5p,1598,1548,2156,1522,1059,694,2319,1975
mmu-miR-666-3p,32,39,40,30,41,25,48,34
mmu-miR-665-5p,96,86,88,73,76,52,137,102
mmu-miR-665-3p,4992,6867,7205,5031,3478,2248,6281,5652
mmu-miR-664-5p,238,142,297,238,237,140,159,206
mmu-miR-664-3p,889,437,307,686,652,455,1110,840
mmu-miR-6546-5p,30,22,28,17,3,4,9,14
mmu-miR-6546-3p,20,12,10,13,6,2,9,6
mmu-miR-6540-5p,72,58,56,61,23,12,29,31
mmu-miR-6540-3p,13,9,12,8,5,2,8,6
mmu-miR-654-3p,0,0,0,3,0,0,0,0
mmu-miR-6539,389,346,323,214,68,71,166,122
mmu-miR-6538,1,3,2,3,2,4,2,3
mmu-miR-6537-5p,0,0,0,0,1,0,0,0
mmu-miR-6537-3p,0,2,0,0,3,3,0,1
mmu-miR-653-5p,30,7,4,1,0,0,0,2
mmu-miR-653-3p,0,0,1,0,0,0,0,0
mmu-miR-652-5p,170,135,146,89,269,144,156,131
mmu-miR-652-3p,2681,1694,2151,2065,3518,2084,1911,1893
mmu-miR-6516-5p,156,82,142,136,81,41,131,112
mmu-miR-6516-3p,25,32,18,19,15,5,9,10
mmu-miR-6481,0,1,1,1,1,0,0,0
mmu-miR-6418-5p,1,0,0,0,0,0,0,0
mmu-miR-6418-3p,0,0,0,1,1,0,0,1
mmu-miR-6412,16,7,8,10,14,8,8,8
mmu-miR-6399,21,15,9,11,6,6,6,4
mmu-miR-6395,3,1,2,0,0,0,1,2
mmu-miR-6392-5p,0,0,0,1,0,0,0,0
mmu-miR-6390,0,0,0,0,0,3,0,0
mmu-miR-6380,1,0,0,1,1,0,1,0
mmu-miR-6240,39,32,32,17,77,40,123,42
mmu-miR-615-5p,0,0,2,0,0,0,0,0
mmu-miR-615-3p,17,15,49,17,8,13,50,40
mmu-miR-598-5p,2,2,0,0,1,0,0,1
mmu-miR-598-3p,788,466,333,710,747,665,1467,705
mmu-miR-592-5p,23,26,47,51,10,6,33,21
mmu-miR-592-3p,2,2,5,3,0,0,1,2
mmu-miR-582-5p,116,80,110,92,58,31,83,91
mmu-miR-582-3p,143,83,116,114,114,56,137,96
mmu-miR-574-5p,4310,3452,1625,4247,7453,4809,7495,3543
mmu-miR-574-3p,14846,10669,15612,14468,19646,11161,23878,20460
mmu-miR-5710,0,0,0,0,0,2,1,0
mmu-miR-5709-5p,14,5,10,18,6,7,6,7
mmu-miR-5709-3p,2,1,0,3,0,0,1,0
mmu-miR-5627-5p,4,8,10,3,1,1,7,7
mmu-miR-5627-3p,2,3,1,0,0,0,1,0
mmu-miR-5626-5p,0,0,2,1,1,0,2,0
mmu-miR-5626-3p,14,9,15,8,11,4,7,5
mmu-miR-5625-3p,0,2,5,0,0,0,0,0
mmu-miR-5624-5p,4,2,3,2,10,3,5,2
mmu-miR-5624-3p,0,0,0,1,2,2,3,0
mmu-miR-5623-5p,0,0,0,4,0,0,2,2
mmu-miR-5622-5p,4,4,3,4,8,7,3,8
mmu-miR-5622-3p,4,0,1,0,0,0,2,1
mmu-miR-5621-5p,3,2,1,1,3,3,3,2
mmu-miR-5621-3p,15,11,6,12,6,2,4,3
mmu-miR-5620-5p,6,4,7,8,3,2,4,3
mmu-miR-5620-3p,10,3,9,4,8,3,9,4
mmu-miR-5619-5p,1,1,0,0,0,1,0,0
mmu-miR-5619-3p,0,0,4,1,5,1,7,2
mmu-miR-5618-5p,0,0,0,0,1,0,1,0
mmu-miR-5617-5p,6,4,2,2,0,1,0,1
mmu-miR-5616-5p,3,0,0,2,6,0,2,1
mmu-miR-5616-3p,6,3,1,2,6,0,3,3
mmu-miR-5615-5p,4,3,9,3,2,5,6,7
mmu-miR-5615-3p,0,0,1,3,1,0,1,1
mmu-miR-551b-3p,0,0,0,2,0,0,1,0
mmu-miR-547-5p,0,0,0,0,2,0,2,1
mmu-miR-547-3p,1,0,0,3,5,5,2,5
mmu-miR-546,0,2,0,0,2,0,0,1
mmu-miR-544-5p,11,6,12,23,21,17,45,19
mmu-miR-544-3p,14,17,21,19,21,18,32,25
mmu-miR-543-5p,119,54,94,134,104,46,210,133
mmu-miR-543-3p,6850,3644,4938,7973,4223,4001,9048,6058
mmu-miR-542-5p,279,174,195,200,335,149,218,154
mmu-miR-542-3p,10649,5939,6613,7999,29745,20421,22621,10670
mmu-miR-541-5p,75812,53396,62513,69575,83626,58590,125787,84373
mmu-miR-541-3p,712,457,652,543,684,462,1111,852
mmu-miR-540-5p,6108,6858,6267,4089,5072,3350,9070,7652
mmu-miR-540-3p,3436,3047,5168,3292,3036,2367,4875,4488
mmu-miR-539-5p,229,128,120,244,286,156,327,159
mmu-miR-539-3p,161,64,53,81,76,73,237,127
mmu-miR-532-5p,11763,10448,12882,9535,21736,9741,11636,10189
mmu-miR-532-3p,1142,1166,1162,857,2866,1094,1308,1354
mmu-miR-5136,0,1,0,1,1,0,0,0
mmu-miR-5135,0,0,0,0,0,0,2,0
mmu-miR-5134-5p,24,11,28,25,25,14,24,15
mmu-miR-5134-3p,4,5,6,3,5,5,3,5
mmu-miR-5133,0,1,0,1,0,0,0,0
mmu-miR-5132-5p,16,9,14,11,19,6,10,20
mmu-miR-5132-3p,0,2,1,0,0,0,1,1
mmu-miR-5130,1,5,6,3,7,5,3,4
mmu-miR-5129-5p,17,9,9,7,11,10,4,13
mmu-miR-5129-3p,16,9,11,12,19,7,9,3
mmu-miR-5128,37,47,41,29,9,7,13,16
mmu-miR-5126,6,15,13,16,34,19,34,31
mmu-miR-5125,21,9,5,20,21,13,10,15
mmu-miR-5124b,0,0,0,0,0,0,3,0
mmu-miR-5123,51,27,26,25,36,23,39,33
mmu-miR-5122,20,16,20,10,23,6,9,7
mmu-miR-5121,112,106,84,71,134,87,174,102
mmu-miR-5120,0,1,0,0,0,0,0,0
mmu-miR-5119,0,1,0,1,1,0,3,0
mmu-miR-5116,11,4,3,5,30,27,23,22
mmu-miR-5114,1,5,1,0,102,94,64,59
mmu-miR-5113,15,18,15,31,53,42,42,33
mmu-miR-5112,2,0,0,0,0,0,0,0
mmu-miR-511-5p,61,40,15,14,1006,417,223,236
mmu-miR-511-3p,287,91,33,73,6677,2506,972,1070
mmu-miR-5108,0,0,0,0,0,0,1,0
mmu-miR-5107-5p,3,0,0,0,0,0,1,0
mmu-miR-5107-3p,1,0,0,2,0,0,1,0
mmu-miR-5106,0,2,0,1,4,0,0,0
mmu-miR-5104b-5p,2,0,0,1,1,0,2,1
mmu-miR-5104,5,1,0,3,16,12,4,2
mmu-miR-5103,65,40,51,34,52,15,56,41
mmu-miR-5100,138,151,88,52,101,56,134,77
mmu-miR-5099,2728,2323,3148,3047,998,685,1029,977
mmu-miR-5098,2,0,1,1,0,0,2,2
mmu-miR-505-5p,12,15,7,10,28,13,26,7
mmu-miR-505-3p,253,196,198,253,165,98,177,129
mmu-miR-504-5p,145,120,282,261,104,47,297,229
mmu-miR-504-3p,0,0,1,0,0,0,2,0
mmu-miR-503-5p,11212,11202,6484,5267,59650,37959,53731,34207
mmu-miR-503-3p,1727,1004,811,961,4855,3370,4867,2597
mmu-miR-501-5p,657,484,508,593,982,453,486,473
mmu-miR-501-3p,5940,3966,5277,4711,10242,5443,5421,5325
mmu-miR-500-5p,47,49,41,39,110,58,56,49
mmu-miR-500-3p,1152,773,977,856,1781,741,1042,951
mmu-miR-499-5p,171,83,140,170,131,84,221,157
mmu-miR-499-3p,0,0,0,0,1,0,2,0
mmu-miR-497b,16,17,14,15,15,6,13,10
mmu-miR-497a-5p,2505,1325,1655,1709,3931,2135,4091,2993
mmu-miR-497a-3p,12,10,4,4,8,17,30,24
mmu-miR-496a-5p,24,12,22,17,24,11,40,30
mmu-miR-496a-3p,5261,2274,3341,4233,4852,3364,9880,6238
mmu-miR-495-5p,45,27,17,47,58,38,77,42
mmu-miR-495-3p,5425,2121,2877,4676,4431,3204,8063,4521
mmu-miR-494-5p,53,41,13,63,32,19,77,54
mmu-miR-494-3p,25554,14228,24354,23436,23699,14414,32376,23419
mmu-miR-493-5p,1976,1030,1183,2090,1950,1475,3136,1659
mmu-miR-493-3p,255,226,316,229,205,105,283,292
mmu-miR-491-5p,162,145,145,107,250,132,205,182
mmu-miR-491-3p,23,8,6,8,21,14,9,13
mmu-miR-490-5p,8,2,5,3,11,8,11,3
mmu-miR-490-3p,70,61,126,86,70,38,67,23
mmu-miR-489-3p,1,1,0,0,1,0,0,0
mmu-miR-488-3p,4,3,13,6,0,0,5,5
mmu-miR-487b-5p,8,1,4,3,3,3,5,1
mmu-miR-487b-3p,1544,792,916,1525,1395,827,1899,1256
mmu-miR-486b-5p,813,691,595,855,880,535,1377,1116
mmu-miR-486b-3p,1,2,1,5,14,5,13,11
mmu-miR-486a-5p,813,691,595,855,880,535,1377,1116
mmu-miR-486a-3p,103,74,106,38,176,108,183,155
mmu-miR-485-5p,2097,1066,1697,1944,2695,1801,3622,2588
mmu-miR-485-3p,3174,1975,2682,1019,3683,1611,5830,1753
mmu-miR-484,42237,37889,44142,34892,25256,14264,32727,28374
mmu-miR-483-5p,386,237,148,248,304,129,112,90
mmu-miR-483-3p,1726,1325,882,745,593,326,300,252
mmu-miR-471-5p,0,0,0,0,0,0,2,1
mmu-miR-470-5p,1,0,0,0,0,1,1,0
mmu-miR-467h,1,0,0,2,1,0,0,0
mmu-miR-467g,1,0,0,2,0,1,3,3
mmu-miR-467f,0,0,0,2,1,2,0,3
mmu-miR-467e-5p,818,395,469,701,529,357,893,541
mmu-miR-467e-3p,31,21,27,38,38,17,46,28
mmu-miR-467d-5p,280,197,327,301,187,124,340,234
mmu-miR-467d-3p,1240,403,592,941,688,370,1044,768
mmu-miR-467c-5p,679,395,561,566,325,234,621,450
mmu-miR-467c-3p,18,10,4,18,25,14,26,23
mmu-miR-467b-5p,2270,1810,1863,2257,1753,980,3344,2436
mmu-miR-467b-3p,7,0,4,4,1,1,5,5
mmu-miR-467a-5p,2270,1810,1863,2257,1753,980,3343,2436
mmu-miR-467a-3p,1242,403,592,941,688,370,1044,769
mmu-miR-466q,17,9,4,4,8,5,23,14
mmu-miR-466p-5p,83,77,109,90,55,52,95,80
mmu-miR-466p-3p,1756,634,937,1384,1237,686,1727,1225
mmu-miR-466o-5p,117,92,129,106,78,59,147,111
mmu-miR-466o-3p,1,0,2,0,4,0,1,1
mmu-miR-466n-5p,22,17,32,14,26,18,24,37
mmu-miR-466n-3p,109,83,104,105,78,44,101,87
mmu-miR-466m-5p,11,8,13,14,12,12,21,26
mmu-miR-466m-3p,37,32,40,28,19,15,37,33
mmu-miR-466l-5p,0,0,0,0,0,0,2,1
mmu-miR-466l-3p,8,4,5,5,3,2,11,6
mmu-miR-466k,51,38,68,44,38,26,36,44
mmu-miR-466j,0,1,1,8,3,2,5,5
mmu-miR-466i-5p,28,18,19,26,79,55,91,70
mmu-miR-466i-3p,77,44,64,70,76,30,147,95
mmu-miR-466h-5p,66,52,52,51,45,32,72,56
mmu-miR-466h-3p,274,140,261,238,143,95,285,251
mmu-miR-466g,84,61,99,90,45,52,132,103
mmu-miR-466f-5p,29,10,22,17,25,14,24,31
mmu-miR-466f-3p,190,79,167,197,100,57,184,168
mmu-miR-466f,29,10,22,17,25,14,24,31
mmu-miR-466e-5p,63,52,60,56,37,34,87,70
mmu-miR-466e-3p,1756,634,937,1384,1237,686,1727,1225
mmu-miR-466d-5p,22,17,32,14,26,18,24,37
mmu-miR-466d-3p,512,186,350,418,413,273,598,460
mmu-miR-466c-5p,267,204,256,226,206,135,376,228
mmu-miR-466c-3p,1756,634,937,1384,1237,686,1727,1225
mmu-miR-466b-5p,117,92,129,106,78,59,147,111
mmu-miR-466b-3p,1756,634,937,1384,1237,686,1727,1225
mmu-miR-466a-5p,48,45,53,43,28,33,64,54
mmu-miR-466a-3p,1756,634,937,1384,1237,686,1727,1225
mmu-miR-465c-5p,0,2,0,0,0,0,1,0
mmu-miR-465c-3p,0,0,0,0,0,0,1,1
mmu-miR-465b-5p,0,0,0,1,1,0,0,0
mmu-miR-465b-3p,0,0,0,0,0,0,1,1
mmu-miR-465a-3p,0,0,0,0,0,0,1,1
mmu-miR-463-5p,0,0,0,0,0,0,2,0
mmu-miR-463-3p,1,0,0,1,0,2,1,0
mmu-miR-455-5p,8566,8211,8255,5925,11719,7769,10066,6601
mmu-miR-455-3p,5263,4091,5879,5465,8289,6091,5915,4376
mmu-miR-452-5p,18,11,8,6,11,5,15,13
mmu-miR-452-3p,10,7,7,9,13,7,9,10
mmu-miR-451a,119,72,10,97,51,28,111,68
mmu-miR-450b-5p,1604,940,489,776,6056,4429,5873,2593
mmu-miR-450b-3p,2957,1662,2205,2229,5341,4009,4061,2623
mmu-miR-450a-5p,31004,19569,18069,22344,73612,57079,59804,27791
mmu-miR-450a-2-3p,127,134,107,83,253,139,194,128
mmu-miR-450a-1-3p,429,203,203,285,1334,1022,1053,526
mmu-miR-449c-5p,124,139,99,56,29,27,105,61
mmu-miR-449c-3p,1,5,1,1,1,0,2,0
mmu-miR-449a-5p,278,184,336,272,128,105,206,197
mmu-miR-449a-3p,22,36,16,12,4,4,4,3
mmu-miR-448-5p,0,0,8,9,0,0,1,0
mmu-miR-448-3p,2,0,233,129,1,0,5,4
mmu-miR-434-5p,71148,71722,98120,68772,71231,46328,135730,113773
mmu-miR-434-3p,64707,42062,60421,61910,59843,39553,96986,75364
mmu-miR-433-5p,2451,1463,2463,2499,1436,1219,2912,2119
mmu-miR-433-3p,14049,8720,14344,14898,8269,6159,12382,10414
mmu-miR-432,0,0,0,0,1,0,0,0
mmu-miR-431-5p,5846,4062,5687,5763,4393,2502,6476,6199
mmu-miR-431-3p,1662,1783,2669,1914,744,506,1528,1248
mmu-miR-429-3p,10,5,2,4,3,2,5,10
mmu-miR-425-5p,6941,4426,4871,4859,7518,3713,7973,5846
mmu-miR-425-3p,1187,681,1004,918,1277,663,1388,1181
mmu-miR-423-5p,10549,8111,12013,10132,7844,5454,9289,8403
mmu-miR-423-3p,24921,24316,32617,23065,14003,9404,17860,14692
mmu-miR-421-5p,15,10,4,14,10,12,15,8
mmu-miR-421-3p,3383,2286,2905,2429,1587,1224,2144,1823
mmu-miR-412-5p,781,604,890,883,469,356,874,764
mmu-miR-412-3p,64,42,73,67,62,34,69,74
mmu-miR-411-5p,68260,69021,103083,72592,68561,44461,104654,88731
mmu-miR-411-3p,14007,6544,8811,13323,15118,11002,23621,12888
mmu-miR-410-5p,109,47,99,101,46,33,76,37
mmu-miR-410-3p,24849,10503,20661,22967,15791,14145,34382,17179
mmu-miR-409-5p,23633,18612,27944,21194,24628,15611,44550,34368
mmu-miR-409-3p,12758,8385,11131,13326,11750,8772,18905,14349
mmu-miR-3968,777,401,486,607,850,576,399,828
mmu-miR-3964,1,0,1,0,0,0,0,0
mmu-miR-3963,0,0,2,1,3,5,3,3
mmu-miR-3960,1,0,2,4,2,0,0,2
mmu-miR-384-5p,3,0,8,12,0,0,7,2
mmu-miR-384-3p,0,2,4,6,0,2,5,3
mmu-miR-383-5p,72,70,265,150,509,433,860,518
mmu-miR-383-3p,0,0,0,4,1,9,19,17
mmu-miR-382-5p,16893,11469,12727,19096,19153,14048,26496,17984
mmu-miR-382-3p,9282,3754,5342,9628,12102,8189,15962,9141
mmu-miR-381-5p,114,50,55,69,87,79,109,66
mmu-miR-381-3p,28333,22683,30626,22396,32224,19957,44598,31231
mmu-miR-380-5p,1662,1235,1950,1692,1324,899,1998,1579
mmu-miR-380-3p,5029,4107,5553,4829,4026,2709,7541,6121
mmu-miR-379-5p,51485,27505,45112,52355,64963,46398,85615,58216
mmu-miR-379-3p,10012,5438,7671,9641,11349,7856,16571,9792
mmu-miR-378d,284,174,25,189,228,201,196,208
mmu-miR-378c,8389,7613,7401,5321,11005,5843,6866,5829
mmu-miR-378b,173,216,181,100,210,119,154,128
mmu-miR-378a-5p,1064,853,838,560,1579,646,862,754
mmu-miR-378a-3p,52724,42786,41942,26105,80605,41510,44076,37294
mmu-miR-377-5p,622,412,609,514,510,349,881,700
mmu-miR-377-3p,1569,729,1312,1574,1655,979,2933,1954
mmu-miR-376c-5p,50,23,17,33,37,26,87,27
mmu-miR-376c-3p,2380,1055,1526,2128,3362,1777,4003,2407
mmu-miR-376b-5p,535,442,532,1046,1365,759,1913,1048
mmu-miR-376b-3p,8471,3728,6785,7432,15243,9563,22005,15595
mmu-miR-376a-5p,496,453,597,693,808,527,1338,862
mmu-miR-376a-3p,1335,1118,1327,974,1982,1008,2831,2506
mmu-miR-375-3p,12,14,36,43,6,5,18,15
mmu-miR-374c-5p,18,5,4,15,21,10,29,10
mmu-miR-374c-3p,633,387,1,1,2,1,4,1
mmu-miR-374b-5p,7280,2986,3014,4858,9462,4661,8259,4481
mmu-miR-370-5p,168,91,167,205,167,93,267,175
mmu-miR-370-3p,3580,3371,5187,3905,5238,3673,8318,6180
mmu-miR-369-5p,1341,568,754,1216,1000,715,2019,1168
mmu-miR-369-3p,5552,2255,2015,5395,6896,5034,9917,4317
